name,title,cites,year,lastUpdated
Adrian D. C. Chan,A global engineer for the global community,91,2009,2020-10-15
Murray Woodside,Hierarchical model-based autonomic control of software systems,91,2005,2020-10-15
F. Richard Yu,A cooperative spectrum sensing consensus scheme in cognitive radios,90,2009,2020-10-15
F. Richard Yu,Interference alignment based on antenna selection with imperfect channel state information in cognitive radio networks,90,2015,2020-10-15
James R Green,Computational methods for predicting protein–protein interactions,90,2008,2020-10-15
Yvan Labiche,Investigating the use of analysis contracts to improve the testability of object‐oriented code,90,2003,2020-10-15
Amir Banihashemi,Efficient algorithm for finding dominant trapping sets of LDPC codes,90,2012,2020-10-15
Dorina Petriu,From UML descriptions of high-level software architectures to LQN performance models,90,1999,2020-10-15
Sreeraman Rajan,Cyclostationarity-based robust algorithms for QAM signal identification,90,2011,2020-10-15
Murray Woodside,Tracking time-varying parameters in software systems with extended Kalman filters.,90,2005,2020-10-15
Rafik Goubran,Array optimization applied in the near field of a microphone array,89,2000,2020-10-15
F. Richard Yu,Energy-efficient spectrum sharing and power allocation in cognitive radio femtocell networks,89,2012,2020-10-15
Peter X. Liu,Adaptive Neural Control of Nonlinear Systems With Unknown Control Directions and Input Dead-Zone,88,2018,2020-10-15
F. Richard Yu,Cross-layer design for video transmissions in metro passenger information systems,88,2011,2020-10-15
Thomas Kunz,Survey on mobile ad hoc network routing protocols and cross-layer design,87,2004,2020-10-15
F. Richard Yu,Resource allocation for information-centric virtualized heterogeneous networks with in-network caching and mobile edge computing,87,2017,2020-10-15
Mostafa Taha,VANET-DSRC protocol for reliable broadcasting of life safety messages,87,2007,2020-10-15
Rafik Goubran,Assessment of effects of packet loss on speech quality in VoIP,87,2003,2020-10-15
Gabriel Wainer,N-dimensional Cell-DEVS models,87,2002,2020-10-15
Yvan Labiche,A use case modeling approach to facilitate the transition towards analysis models: Concepts and empirical evaluation,86,2009,2020-10-15
F. Richard Yu,"Exploiting interference for energy harvesting: A survey, research issues, and challenges",86,2017,2020-10-15
Murray Woodside,Tutorial introduction to layered modeling of software performance,86,2002,2020-10-15
Mohamed Ibnkahla,Multiband spectrum sensing and resource allocation for IoT in cognitive 5G networks,86,2017,2020-10-15
F. Richard Yu,"Communications, caching, and computing oriented small cell networks with interference alignment",86,2016,2020-10-15
Rafik Goubran,Robust near-field adaptive beamforming with distance discrimination,86,2004,2020-10-15
Ioannis Lambadaris,Fast simulation for self-similar traffic in ATM networks,85,1995,2020-10-15
F. Richard Yu,Software-defined device-to-device (D2D) communications in virtual wireless networks with imperfect network state information (NSI),85,2015,2020-10-15
Yvan Labiche,Traffic-aware stress testing of distributed systems based on UML models,85,2006,2020-10-15
Halim Yanikomeroglu,Method and system for capacity and coverage enhancement in wireless networks with relays,85,2013,2020-10-15
Amir Banihashemi,Dynamics and performance analysis of analog iterative decoding for low-density parity-check (LDPC) codes,85,2006,2020-10-15
Changcheng Huang,Fast simulation for self-similar traffic in ATM networks,85,1995,2020-10-15
Thomas Kunz,Multicasting in ad-hoc networks: Comparing MAODV and ODMRP,85,2001,2020-10-15
F. Richard Yu,A game-theoretical decision-making scheme for electricity retailers in the smart grid with demand-side management,84,2011,2020-10-15
Amir Banihashemi,Lowering the error floor of LDPC codes using cyclic liftings,84,2011,2020-10-15
Peter X. Liu,A game-theoretical decision-making scheme for electricity retailers in the smart grid with demand-side management,84,2011,2020-10-15
Yvan Labiche,Testing levels for object-oriented software,84,2000,2020-10-15
Thomas Kunz,Pro-active route maintenance in DSR,84,2002,2020-10-15
Thomas Kunz,Increasing packet delivery ratio in DSR by link prediction,84,2003,2020-10-15
F. Richard Yu,Exploiting adversarial jamming signals for energy harvesting in interference networks,84,2016,2020-10-15
F. Richard Yu,Optimization or alignment: Secure primary transmission assisted by secondary networks,83,2018,2020-10-15
Adrian D. C. Chan,Surface electromyographic signals using dry electrodes,83,2011,2020-10-15
Adrian D. C. Chan,Myo-electric signals to augment speech recognition,83,2001,2020-10-15
Peter X. Liu,Structural Results for Combined Continuous User Authentication and Intrusion Detection in High Security Mobile Ad-Hoc Networks,83,2011,2020-10-15
F. Richard Yu,"Directional Sensor Placement with Optimal Sensing Range, Field of View and Orientation",83,2008,2020-10-15
F. Richard Yu,Optimal cooperative internetwork spectrum sharing for cognitive radio systems with spectrum pooling,83,2010,2020-10-15
F. Richard Yu,Structural results for combined continuous user authentication and intrusion detection in high security mobile ad-hoc networks,83,2011,2020-10-15
Babak Esfandiari,Management applications of the web service offerings language (wsol),83,2003,2020-10-15
Chung-Horng Lung,A control scheme for stable force-reflecting teleoperation over IP networks,83,2006,2020-10-15
F. Richard Yu,Joint topology control and authentication design in mobile ad hoc networks with cooperative communications,83,2012,2020-10-15
F. Richard Yu,Medium access control for unmanned aerial vehicle (UAV) ad-hoc networks with full-duplex radios and multipacket reception capability,83,2012,2020-10-15
Peter X. Liu,A control scheme for stable force-reflecting teleoperation over IP networks,83,2006,2020-10-15
Marc St-Hilaire,"Directional sensor placement with optimal sensing range, field of view and orientation",83,2010,2020-10-15
Yvan Labiche,"Assessing, comparing, and combining state machine-based testing and structural testing: A series of experiments",82,2010,2020-10-15
Halim Yanikomeroglu,A survey of opportunities for free space optics in next generation cellular networks,82,2011,2020-10-15
Marc St-Hilaire,A survey of opportunities for free space optics in next generation cellular networks,82,2011,2020-10-15
Andy Adler,Electrical impedance tomography: Tissue properties to image measures,82,2017,2020-10-15
Peter X. Liu,Robust adaptive fuzzy output feedback control system for robot manipulators,82,2011,2020-10-15
Andy Adler,Temporal image reconstruction in electrical impedance tomography,82,2007,2020-10-15
Peter X. Liu,Improving haptic feedback fidelity in wave-variable-based teleoperation orientated to telemedical applications,82,2009,2020-10-15
Mohamed Ibnkahla,"Optimal choice and design of different topologies of DC–DC converter used in PV systems, at different climatic conditions in Egypt",81,2012,2020-10-15
Samuel A Ajila,Software maintenance: an approach to impact analysis of objects change,81,1995,2020-10-15
Peter X. Liu,Adaptive fuzzy finite-time control of  nonlinear systems with actuator faults,81,2019,2020-10-15
F. Richard Yu,A survey on large-scale software defined networking (SDN) testbeds: Approaches and challenges,81,2016,2020-10-15
Peter X. Liu,Secondary peak detection of PPG signal for continuous cuffless arterial blood pressure measurement,80,2014,2020-10-15
Yvan Labiche,Using genetic algorithms for early schedulability analysis and stress testing in real-time systems,80,2006,2020-10-15
Mohamed Ibnkahla,Growth and photosynthetic responses of two coniferous species to experimental warming and nitrogen fertilization,80,2009,2020-10-15
F. Richard Yu,Dynamic pricing for demand-side management in the smart grid,80,2011,2020-10-15
Peter X. Liu,Dynamic pricing for demand-side management in the smart grid,80,2011,2020-10-15
Rafik Goubran,Secondary peak detection of PPG signal for continuous cuffless arterial blood pressure measurement,80,2014,2020-10-15
Murray Woodside,Performance modeling and prediction of enterprise JavaBeans with layered queuing network templates,80,2005,2020-10-15
Peter X. Liu,Improving trajectory tracking in wave-variable-based teleoperation,80,2010,2020-10-15
Thomas Kunz,A survey of middleware paradigms for mobile computing,79,2003,2020-10-15
Chris Joslin,Collaborative virtual environments: from birth to standardization,79,2004,2020-10-15
Murray Woodside,A metamodel for generating performance models from UML designs,79,2004,2020-10-15
Yvan Labiche,A case study using the round-trip strategy for state-based class testing,79,2002,2020-10-15
F. Richard Yu,Cognitive radio mobile ad hoc networks,79,2011,2020-10-15
F. Richard Yu,Energy-Efficient Cooperative Spectrum Sensing Schemes for Cognitive Radio Networks,79,2013,2020-10-15
Amir Banihashemi,"A 0.18-$ muhbox m $ CMOS Analog Min-Sum Iterative Decoder for a (32, 8) Low-Density Parity-Check (LDPC) Code",79,2006,2020-10-15
Peter X. Liu,Stochastic unit commitment in smart grid communications,79,2011,2020-10-15
Peter X. Liu,Online data-driven fuzzy clustering with applications to real-time robotic tracking,79,2004,2020-10-15
F. Richard Yu,A hierarchical identity based key management scheme in tactical mobile ad hoc networks,79,2010,2020-10-15
F. Richard Yu,Stochastic unit commitment in smart grid communications,79,2011,2020-10-15
F. Richard Yu,Capacity-optimized topology control for MANETs with cooperative communications,79,2011,2020-10-15
Amir Banihashemi,On implementation of min-sum algorithm for decoding low-density parity-check (LDPC) codes,79,2002,2020-10-15
Yvan Labiche,An automated approach to transform use cases into activity diagrams,78,2010,2020-10-15
F. Richard Yu,A survey of game theory in wireless sensor networks security,78,2011,2020-10-15
F. Richard Yu,Topology control in mobile ad hoc networks with cooperative communications,78,2012,2020-10-15
Gabriel Wainer,Models of complex physical systems using Cell-DEVS,78,2001,2020-10-15
Babak Esfandiari,Web Service Offerings Infrastructure (WSOI)-a management infrastructure for XML Web services,78,2004,2020-10-15
Peter X. Liu,Data gathering communication in wireless sensor networks using ant colony optimization,77,2005,2020-10-15
Ramy H. Gohary,Optimal tradeoff between sum-rate efficiency and Jain's fairness index in resource allocation,77,2013,2020-10-15
Halim Yanikomeroglu,Optimal tradeoff between sum-rate efficiency and Jain's fairness index in resource allocation,77,2013,2020-10-15
Murray Woodside,Layered queueing network solver and simulator user manual,77,2005,2020-10-15
Halim Yanikomeroglu,Asymptotic BER analysis of threshold digital relaying schemes in cooperative wireless systems,77,2008,2020-10-15
Yvan Labiche,Modeling safety and airworthiness (RTCA DO-178B) information: conceptual model and UML profile,77,2011,2020-10-15
Dorina Petriu,Layered queueing network solver and simulator user manual,77,2005,2020-10-15
Thomas Kunz,An architecture for adaptive mobile applications,76,1999,2020-10-15
Rafik Goubran,Speech enhancement using a masking threshold constrained Kalman filter and its heuristic implementations,76,2005,2020-10-15
Peter X. Liu,Convergence analysis of estimation algorithms for dual-rate stochastic systems,76,2006,2020-10-15
F. Richard Yu,Mobility-based anomaly detection in cellular mobile networks,76,2004,2020-10-15
Andy Adler,Precision-controlled elution of a 82Sr/82Rb generator for cardiac perfusion imaging with positron emission tomography,76,2007,2020-10-15
Amir Banihashemi,Graph-based message-passing schedules for decoding LDPC codes,75,2004,2020-10-15
Ioannis Lambadaris,Current Trends and Advances in Information Assurance Metrics.,75,2004,2020-10-15
F. Richard Yu,Enhancing security using mobility-based anomaly detection in cellular mobile networks,75,2006,2020-10-15
Ashraf Matrawy,Current Trends and Advances in Information Assurance Metrics.,75,2004,2020-10-15
Amir Banihashemi,On the girth of quasi-cyclic protograph LDPC codes,75,2013,2020-10-15
Yvan Labiche,Experimenting with genetic algorithms to devise optimal integration test orders,75,2003,2020-10-15
Yvan Labiche,Automatic evaluation of intrusion detection systems,75,2006,2020-10-15
Andy Adler,Mammography segmentation with maximum likelihood active contours,75,2012,2020-10-15
Halim Yanikomeroglu,Efficient cooperative diversity schemes and radio resource allocation for IEEE 802.16 j,74,2008,2020-10-15
Murray Woodside,Service system resource management based on a tracked layered performance model,74,2006,2020-10-15
Peter X. Liu,Output-feedback adaptive control of networked teleoperation system with time-varying delay and bounded inputs,74,2015,2020-10-15
Peter X. Liu,A multichannel IOS small gain theorem for systems with multiple time-varying communication delays,74,2009,2020-10-15
F. Richard Yu,Computation offloading and content caching in wireless blockchain networks with mobile edge computing,74,2018,2020-10-15
Rafik Goubran,Determination of sit-to-stand transfer duration using bed and floor pressure sequences,73,2009,2020-10-15
Ian Marsland,On the performance of iterative noncoherent detection of coded M-PSK signals,73,2000,2020-10-15
Murray Woodside,Using regression splines for software performance analysis,73,2000,2020-10-15
Dorina Petriu,From UML to LQN by XML algebra-based model transformations,73,2005,2020-10-15
James R Green,Global investigation of protein–protein interactions in yeast              Saccharomyces cerevisiae              using re-occurring short polypeptide sequences,73,2008,2020-10-15
Ioannis Lambadaris,On minimizing the sum of sensor movements for barrier coverage of a line segment,73,2010,2020-10-15
Andy Adler,Electrode placement configurations for 3D EIT,73,2007,2020-10-15
F. Richard Yu,Green full-duplex self-backhaul and energy harvesting small cell networks with massive MIMO,73,2016,2020-10-15
Mohamed Ibnkahla,Wireless sensor networks: Applications and challenges,73,2007,2020-10-15
Andy Adler,"The impact of electrode area, contact impedance and boundary shape on EIT images",73,2011,2020-10-15
Thomas Kunz,On-demand routing in MANETs: The impact of a realistic physical layer model,72,2003,2020-10-15
F. Richard Yu,Artificial noise assisted secure interference networks with wireless power transfer,72,2017,2020-10-15
F. Richard Yu,Virtual resource allocation in information-centric wireless networks with virtualization,72,2016,2020-10-15
F. Richard Yu,Distributed virtual resource allocation in small-cell networks with full-duplex self-backhauls and virtualization,72,2015,2020-10-15
F. Richard Yu,A novel interference alignment scheme based on sequential antenna switching in wireless networks,72,2013,2020-10-15
Chung-Horng Lung,Software architecture recovery and restructuring through clustering techniques,72,1998,2020-10-15
Ioannis Lambadaris,Modelling prioritized MPEG video using TES and a frame spreading strategy for transmission in ATM networks,72,1995,2020-10-15
Rafik Goubran,Acoustic echo cancellation using NLMS-neural network structures,72,1995,2020-10-15
F. Richard Yu,Efficient QoS provisioning for adaptive multimedia in mobile communication networks by reinforcement learning,71,2006,2020-10-15
F. Richard Yu,A survey of mobile information-centric networking: Research issues and challenges,71,2018,2020-10-15
Andy Adler,Sensitivity of exercise electrocardiography for acute cardiac events during moderate and strenuous physical activity: the Lipid Research Clinics Coronary Primary Prevention Trial,71,1991,2020-10-15
Peter X. Liu,Adaptive neural output-feedback decentralized control for large-scale nonlinear systems with stochastic disturbances,71,2019,2020-10-15
Yvan Labiche,"Coverage‐based regression test case selection, minimization and prioritization: A case study on an industrial system",70,2015,2020-10-15
Amir Banihashemi,Dynamics and performance analysis of analog iterative decoding for low-density parity-check (LDPC) codes,70,2006,2020-10-15
Samuel A Ajila,Cloud client prediction models for cloud resource provisioning in a multitier web application environment,70,2013,2020-10-15
Halim Yanikomeroglu,User association and bandwidth allocation for terrestrial and aerial base stations with backhaul considerations,70,2017,2020-10-15
Changcheng Huang,Protection/restoration of MPLS networks,70,1999,2020-10-15
F. Richard Yu,A survey of energy-efficient caching in information-centric networking,70,2014,2020-10-15
James R Green,Computational approaches toward the design of pools for the in vitro selection of complex aptamers,70,2010,2020-10-15
Peter X. Liu,Convergence analysis of teleoperation systems with unsymmetric time-varying delays,70,2009,2020-10-15
Peter X. Liu,Stochastic small-signal stability analysis of grid-connected photovoltaic systems,70,2016,2020-10-15
F. Richard Yu,Adaptive energy-efficient power allocation in green interference-alignment-based wireless networks,69,2014,2020-10-15
Rafik Goubran,Security monitoring using microphone arrays and audio classification,69,2006,2020-10-15
F. Richard Yu,"Joint optimization of caching, computing, and radio resources for fog-enabled IoT using natural actor–critic deep reinforcement learning",69,2018,2020-10-15
Adrian D. C. Chan,Security monitoring using microphone arrays and audio classification,69,2006,2020-10-15
F. Richard Yu,"Software defined networking, caching, and computing for green wireless networks",69,2016,2020-10-15
Mohamed Ibnkahla,Principles of MIMO-OFDM wireless systems,69,2004,2020-10-15
F. Richard Yu,Handoff performance improvements in MIMO-enabled communication-based train control systems,68,2012,2020-10-15
John Chinneck,An effective polynomial-time heuristic for the minimum-cardinality IIS set-covering problem,68,1996,2020-10-15
Rafik Goubran,Identifying movement onset times for a bed-based pressure sensor array,68,2006,2020-10-15
Halim Yanikomeroglu,On the optimal number of hops in infrastructure-based fixed relay networks,68,2005,2020-10-15
Halim Yanikomeroglu,"Exploring synergy between communications, caching, and computing in 5G-grade deployments",68,2016,2020-10-15
James R Green,Automated biosignal quality analysis for electromyography using a one-class support vector machine,68,2014,2020-10-15
Mohamed Ibnkahla,"An evaluation of the antibacterial and antifungal activity of leaf extracts of Momordica charantia against Candida albicans, Staphylococcus aureus and Escherichia coli",68,2008,2020-10-15
Thomas Kunz,Using automatic process clustering for design recovery and distributed debugging,68,1995,2020-10-15
Andy Adler,Impact of model shape mismatch on reconstruction quality in electrical impedance tomography,68,2012,2020-10-15
Adrian D. C. Chan,Automated biosignal quality analysis for electromyography using a one-class support vector machine,68,2014,2020-10-15
Peter X. Liu,Adaptive neural synchronization control for bilateral teleoperation systems with time delay and backlash-like hysteresis,68,2017,2020-10-15
Amir Banihashemi,On the complexity of decoding lattices using the Korkin-Zolotarev reduced basis,68,1998,2020-10-15
Yvan Labiche,aToucan: an automated framework to derive UML analysis models from use case models,68,2015,2020-10-15
F. Richard Yu,Joint cloud and wireless networks operations in mobile cloud computing environments with telecom operator cloud,68,2015,2020-10-15
Andy Adler,Electrical impedance tomography system based on active electrodes,67,2012,2020-10-15
Babak Esfandiari,Towards a classification of web service feature interactions,67,2007,2020-10-15
Andy Adler,Towards a measure of biometric information,67,2006,2020-10-15
Ioannis Lambadaris,On minimizing the maximum sensor movement for barrier coverage of a line segment,67,2009,2020-10-15
F. Richard Yu,Performance improvements of mobile SCTP in integrated heterogeneous wireless networks,67,2007,2020-10-15
Gabriel Wainer,Implementing parallel cell-DEVS,67,2003,2020-10-15
John Chinneck,The constraint consensus method for finding approximately feasible points in nonlinear programs,67,2004,2020-10-15
Mohamed Ibnkahla,Towards prolonged lifetime for deployed WSNs in outdoor environment monitoring,67,2015,2020-10-15
Peter X. Liu,Sonar image segmentation based on GMRF and level-set models,67,2010,2020-10-15
F. Richard Yu,A multi-level DDoS mitigation framework for the industrial internet of things,67,2018,2020-10-15
F. Richard Yu,Attribute-based data access control in mobile cloud computing: Taxonomy and open issues,67,2017,2020-10-15
John Chinneck,Finding a useful subset of constraints for analysis in an infeasible linear program,67,1997,2020-10-15
John Chinneck,Active-constraint variable ordering for faster feasibility of mixed integer linear programs,66,2007,2020-10-15
Thomas Kunz,Frequency accuracy & stability dependencies of crystal oscillators,66,2008,2020-10-15
Yvan Labiche,"A UML profile for developing airworthiness-compliant (RTCA DO-178B), safety-critical software",66,2007,2020-10-15
F. Richard Yu,"Integration of networking, caching, and computing in wireless systems: A survey, some research issues, and challenges",66,2017,2020-10-15
Babak Esfandiari,On feature interactions among web services,66,2005,2020-10-15
F. Richard Yu,Joint connection admission control and routing in IEEE 802.16-based mesh networks,66,2010,2020-10-15
Yvan Labiche,Revisiting strategies for ordering class integration testing in the presence of dependency cycles,66,2001,2020-10-15
Babak Esfandiari,On requirements for ontologies in management of web services,65,2002,2020-10-15
Thomas Kunz,WAP traffic: Description and comparison to WWW traffic,65,2000,2020-10-15
Murray Woodside,Performance-related completions for software specifications,65,2002,2020-10-15
F. Richard Yu,Cloud computing meets mobile wireless communications in next generation cellular networks,65,2014,2020-10-15
Peter X. Liu,An end-to-end transmission architecture for the remote control of robots over IP networks,65,2005,2020-10-15
Halim Yanikomeroglu,"Adaptive modulation, adaptive coding, and power control for fixed cellular broadband wireless systems: some new insights",65,2003,2020-10-15
James R Green,Method for determination of co-occurences of attributes,65,2004,2020-10-15
Andy Adler,A primal–dual interior-point framework for using the L1 or L2 norm on the data and regularization terms of inverse problems,65,2012,2020-10-15
F. Richard Yu,Distributed consensus-based security mechanisms in cognitive radio mobile ad hoc networks,65,2012,2020-10-15
Peter X. Liu,Teleoperation over the internet with/without velocity signal,65,2011,2020-10-15
Mohamed Ibnkahla,Strange attractors and chaos control in periodically forced complex Duffing's oscillators,64,2001,2020-10-15
Changcheng Huang,Fault detection and path performance monitoring in meshed all-optical networks,64,2004,2020-10-15
Gabriel Wainer,Synchronization methods in parallel and distributed discrete-event simulation,64,2013,2020-10-15
Halim Yanikomeroglu,Investigating the Gaussian convergence of the distribution of the aggregate interference power in large wireless networks,64,2010,2020-10-15
Chung-Horng Lung,Towards an autonomic auto-scaling prediction system for cloud resource provisioning,63,2015,2020-10-15
Samuel A Ajila,Towards an autonomic auto-scaling prediction system for cloud resource provisioning,63,2015,2020-10-15
Sreeraman Rajan,Feature-based neural network approach for oscillometric blood pressure estimation,63,2011,2020-10-15
F. Richard Yu,Optimal Network Selection in Heterogeneous Wireless Multimedia Networks,63,2009,2020-10-15
Peter X. Liu,Bilateral Control of Teleoperation Systems with Time Delay,63,2015,2020-10-15
F. Richard Yu,Distributed resource allocation in blockchain-based video streaming systems with mobile edge computing,62,2018,2020-10-15
Yvan Labiche,Automated traceability analysis for UML model refinements,62,2009,2020-10-15
Yvan Labiche,Traffic-aware stress testing of distributed real-time systems based on UML models using genetic algorithms,62,2008,2020-10-15
Thomas Kunz,An activity-based mobility model and location management simulation framework,62,1999,2020-10-15
Murray Woodside,Automated performance modeling of software generated by a design environment,62,2001,2020-10-15
Mohamed Ibnkahla,Quantifying connectivity in wireless sensor networks with grid-based deployments,62,2013,2020-10-15
Mohamed Ibnkahla,Connectivity optimization for wireless sensor networks applied to forest monitoring,62,2009,2020-10-15
Shikharesh Majumdar,Performance of CORBA-based client-server architectures,61,2002,2020-10-15
Dorina Petriu,"Performance analysis of a software design using the uml profile for schedulability, performance, and time",61,2003,2020-10-15
Murray Woodside,Performance analysis of security aspects by weaving scenarios extracted from UML models,61,2009,2020-10-15
Murray Woodside,"Performance analysis of a software design using the uml profile for schedulability, performance, and time",61,2003,2020-10-15
Murray Woodside,Deriving message sequence charts from use case maps scenario specifications,61,2001,2020-10-15
Halim Yanikomeroglu,"Fast track article: Generating random graphs for the simulation of wireless ad hoc, actuator, sensor, and internet networks, Pervasive and Mobile Computing, v. 4 n. 5",61,2008,2020-10-15
Ali Arya,The evolution and significance of the Global Game Jam,61,2013,2020-10-15
Dorina Petriu,Performance analysis of security aspects by weaving scenarios extracted from UML models,61,2009,2020-10-15
Ioannis Lambadaris,Performance analysis of first-fit wavelength assignment algorithm in optical networks,61,2003,2020-10-15
Ioannis Lambadaris,Blocking probabilities for large multirate Erlang loss systems,61,1993,2020-10-15
James R Green,Method for controlling the position of a permanent magnetically supported rotating component,61,2007,2020-10-15
F. Richard Yu,Hybrid half-duplex/full-duplex cooperative non-orthogonal multiple access with transmit power adaptation,61,2017,2020-10-15
Gabriel Wainer,Applying Cell-DEVS methodology for modeling the environment,60,2006,2020-10-15
Amir Banihashemi,On characterization of elementary trapping sets of variable-regular LDPC codes,60,2014,2020-10-15
F. Richard Yu,Energy-efficient distributed relay and power control in cognitive radio cooperative communications,60,2013,2020-10-15
Peter X. Liu,Nonlinear adaptive control for quadrotor flying vehicle,60,2014,2020-10-15
Halim Yanikomeroglu,Optimum threshold for SNR-based selective digital relaying schemes in cooperative wireless networks,60,2007,2020-10-15
F. Richard Yu,Dynamic operations of cloud radio access networks (C-RAN) for mobile cloud computing systems,60,2015,2020-10-15
Chung-Horng Lung,Communication requirements and analysis of distribution networks using WiMAX technology for smart grids,59,2012,2020-10-15
F. Richard Yu,Computation offloading and resource allocation in vehicular networks based on dual-side cost minimization,59,2018,2020-10-15
Ian Marsland,Multiple differential detection of parallel concatenated convolutional (turbo) codes in correlated fast Rayleigh fading,59,1998,2020-10-15
Andy Adler,A resistive mesh phantom for assessing the performance of EIT systems,59,2010,2020-10-15
Halim Yanikomeroglu,On the performance of selection relaying,59,2008,2020-10-15
Andy Adler,Comparing human and automatic face recognition performance,59,2007,2020-10-15
Thomas Kunz,Poet: Target-system independent visualizations of complex distributed-application executions,59,1997,2020-10-15
Andy Adler,A novel biometric system for identification and verification of haptic users,59,2007,2020-10-15
Halim Yanikomeroglu,Robust resource allocation to enhance physical layer security in systems with full-duplex receivers: Active adversary,59,2016,2020-10-15
Andy Adler,Can images be regenerated from biometric templates?,58,2003,2020-10-15
Shikharesh Majumdar,Characterisation of programs for scheduling in multiprogrammed parallel systems,58,1991,2020-10-15
Dorina Petriu,Layered bottlenecks and their mitigation,58,2006,2020-10-15
Gabriel Wainer,Distributed simulation of DEVS and Cell-DEVS models in CD++ using Web-Services,58,2008,2020-10-15
Halim Yanikomeroglu,Strategic densification with UAV-BSs in cellular networks,58,2017,2020-10-15
Ioannis Lambadaris,A comparative study of the SIP and IAX VoIP protocols,58,2005,2020-10-15
Murray Woodside,Analysing software requirements specifications for performance,58,2002,2020-10-15
John Chinneck,Analyzing infeasible mixed-integer and integer linear programs.,58,1996,2020-10-15
Murray Woodside,Layered bottlenecks and their mitigation,58,2006,2020-10-15
Ramy H. Gohary,A generalized iterative water-filling algorithm for distributed power control in the presence of a jammer,58,2009,2020-10-15
Marc St-Hilaire,Expansion model for the controller placement problem in software defined networks,58,2017,2020-10-15
F. Richard Yu,A survey on access control in fog computing,58,2018,2020-10-15
Andy Adler,An improved visual cryptography scheme for secret hiding,57,2006,2020-10-15
Samuel A Ajila,Predicting cloud resource provisioning using machine learning techniques,57,2013,2020-10-15
Thomas Kunz,The performance of greedy geographic forwarding in unmanned aeronautical ad-hoc networks,57,2011,2020-10-15
Thomas Kunz,On-demand multicasting in ad-hoc networks: Comparing AODV and ODMRP,57,2002,2020-10-15
Marc St-Hilaire,The performance of greedy geographic forwarding in unmanned aeronautical ad-hoc networks,57,2011,2020-10-15
Marc St-Hilaire,MeFoRE: QoE based resource estimation at Fog to enhance QoS in IoT,57,2016,2020-10-15
Chung-Horng Lung,MeFoRE: QoE based resource estimation at Fog to enhance QoS in IoT,57,2016,2020-10-15
Changcheng Huang,Hybrid cluster routing: an efficient routing protocol for mobile ad hoc networks,57,2006,2020-10-15
Rafik Goubran,Experimental evaluation of a nested microphone array with adaptive noise cancellers,57,2004,2020-10-15
Ioannis Lambadaris,MeFoRE: QoE based resource estimation at Fog to enhance QoS in IoT,57,2016,2020-10-15
F. Richard Yu,Performance optimization for blockchain-enabled industrial Internet of Things (IIoT) systems: A deep reinforcement learning approach,57,2019,2020-10-15
F. Richard Yu,Blockchain-Based Software-Defined Industrial Internet of Things: A Dueling Deep  -Learning Approach,57,2018,2020-10-15
Ali Arya,The global game jam for teaching and learning,56,2013,2020-10-15
Amir Banihashemi,Message-passing algorithms for counting short cycles in a graph,56,2012,2020-10-15
Peter X. Liu,A New Coordinated Slave Torque Feedback Control Algorithm for Network-Based Teleoperation Systems,56,2013,2020-10-15
Peter X. Liu,Modeling and stability analysis of automatic generation control over cognitive radio networks in smart grids,56,2015,2020-10-15
Rafik Goubran,SNR estimation of speech signals using subbands and fourth-order statistics,56,1999,2020-10-15
Richard Dansereau,A maximum likelihood estimation of vocal-tract-related filter characteristics for single channel speech separation,56,2006,2020-10-15
Amir Banihashemi,Efficient search of girth-optimal QC-LDPC codes,56,2016,2020-10-15
F. Richard Yu,"Resource allocation for ultra-dense networks: A survey, some research issues and challenges",56,2018,2020-10-15
Yvan Labiche,"Empirical studies of software testing techniques: Challenges, practical strategies, and future research",56,2004,2020-10-15
F. Richard Yu,Privacy-preserving content dissemination for vehicular social networks: Challenges and solutions,56,2018,2020-10-15
Roshdy H. M. Hafez,Improved transmit null steering for MIMO-OFDM downlinks with distributed base station antenna arrays,55,2006,2020-10-15
Marc St-Hilaire,An optimal P2P energy trading model for smart homes in the smart grid,55,2017,2020-10-15
John Chinneck,CloudOpt: Multi-goal optimization of application deployments across a cloud,55,2011,2020-10-15
Ashraf Matrawy,Bottleneck analysis of traffic monitoring using wireshark,55,2007,2020-10-15
Adrian D. C. Chan,Continuous classification of myoelectric signals for powered prostheses using Gaussian mixture models,55,2003,2020-10-15
Andy Adler,Non-invasive monitoring of central blood pressure by electrical impedance tomography: first experimental evidence,55,2011,2020-10-15
Rafik Goubran,Perceptual Kalman filtering for speech enhancement in colored noise,55,2004,2020-10-15
Thomas Kunz,An optimal P2P energy trading model for smart homes in the smart grid,55,2017,2020-10-15
Dorina Petriu,Adding dependability analysis capabilities to the MARTE profile,55,2008,2020-10-15
F. Richard Yu,Virtual resource allocation in software-defined information-centric cellular networks with device-to-device communications and imperfect CSI,55,2016,2020-10-15
Thomas Kunz,Energy-efficient variations of OLSR,55,2008,2020-10-15
Ian Marsland,An incremental redundancy hybrid ARQ scheme via puncturing and extending of polar codes,55,2015,2020-10-15
Ian Marsland,Improved transmit null steering for MIMO-OFDM downlinks with distributed base station antenna arrays,55,2006,2020-10-15
Ali Arya,Facial actions as visual cues for personality,55,2006,2020-10-15
Murray Woodside,CloudOpt: Multi-goal optimization of application deployments across a cloud,55,2011,2020-10-15
F. Richard Yu,Virtualization for distributed ledger technology (vDLT),54,2018,2020-10-15
